id;ementa;bibliografia_basica;bibliografia_complementar;pratica_laboratorial
1;like prance than;woot intermarry late;over;roundabout runway
2;rarely reassuringly who;interchange carefree delete;versus pace;modulo ha
3;ha lasting;deny;reward wholly;deserted hassle
4;woot forgery;blah pace;bah gulp;phooey aw
5;lobster trusty overcoat;vastly impostor the;out around;with
6;ghost;thrifty enfold stock;unknown during who;junior
7;before readily bind;intrepid boohoo;talkative once;quaff after alongside
8;wasteful seemingly surprisingly;nippy if;even;than loyally
9;upon;phew nearly pish;hovel yippee tiny;markup
10;coaxingly descriptive disadvantage;around whereas though;famously;whether bah over
